,Name,Location,Area,lon,lat
3,Bandipur National Park,Karnataka,874 km²,76.62840000000006,11.66760000000005
4,Bhadra Wildlife Sanctuary,"Shivamogga, Karnataka",892 km²,75.63623000000007,13.695190000000025
5,Bhagwan Mahaveer Sanctuary and Mollem National Park,"Sanguem taluk, Goa",650 km²,-75.17980999999997,39.865830000000074
6,Bhitarkanika Mangroves,Odisha,650 km²,-82.53087999999997,27.247750000000053
7,Bondla Wildlife Sanctuary,"Ponda taluk, Goa",8 km²,74.08933000000007,15.466200000000072
9,Gir National Park,"Talala taluk, Gir Somnath district, Gujarat",1412 km²,70.59857000000005,21.168770000000052
11,Jim Corbett National Park,"Nainital district and Pauri Garhwal district, Uttarakhand",520.8 km²,78.77476000000007,29.529810000000055
12,Kanha National Park,Madhya Pradesh,650 km²,80.63587000000007,22.26392000000004
13,Keibul Lamjao National Park,"Bishnupur district, Manipur",40 km²,93.85748000000007,24.590590000000077
15,Mhadei Wildlife Sanctuary,"Sattari taluk, Goa",208.5 km²,86.69491000000005,24.485240000000033
16,Molai forest,Majuli island on the Brahmaputra River,5.5 km²,175.91897893676838,-38.53032726832994
17,Nagarhole National Park,"Kodagu district and Mysore district, Karnataka",642 km²,76.13371000000006,12.040580000000034
19,Namdapha National Park,Arunachal Pradesh,1985 km²,96.23395000000005,27.492940000000033
20,Nanmangalam forest,"Chennai, Tamil Nadu",24 km²,4.324178601000028,50.81406084400004
21,Netravali Wildlife Sanctuary,Goa,211 km²,74.23200000000008,15.08382000000006
23,Pichavaram Mangrove Forest,"Pichavaram, Cuddalore district, Tamil Nadu",11 km²,79.78062000000006,11.432070000000067
24,Salim Ali Bird Sanctuary,"Chorão (island) on Mandovi river, Goa",1.8 km²,76.68712000000005,10.129740000000027
25,Saranda forest,"West Singhbhum district, Jharkhand",820 km²,4.324178601000028,50.81406084400004
26,Shettihalli,Karnataka (Tunga River),395.6 km²,76.61303000000004,11.87453000000005
27,Sundarbans,West Bengal,3260 km²,-0.7195599999999445,51.62048000000004
30,Wayanad Wildlife Sanctuary,"Wayanad, Kerala",344 km²,76.34136000000007,11.690380000000062
